"Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
137911.014107171,73958.4562822195,201863.571932122,40104.0171621403,235718.011052201
137911.03122679,73262.1658493883,202559.896604192,39039.123776667,236782.938676914
137911.043881144,72573.2933436517,203248.794418637,37985.57749546,237836.510266829
137911.04578184,71891.5997138233,203930.491849856,36943.0160501533,238879.075513526
137911.040578584,71216.866758046,204605.214399122,35911.1037977653,239910.977359402
137911.034933184,70548.8907610174,205273.179105351,34889.5256560792,240932.544210289
137911.032759208,69887.4764335119,205934.589084904,33877.9808842806,241944.084634135
137911.033902842,69232.4345588516,206589.633246832,32876.1801818564,242945.887623827
137911.036100146,68583.5827722504,207238.489428042,31883.8458443918,243938.226355901
137911.037426199,67940.7471327947,207881.327719604,30900.7128712076,244921.361981191
137911.037406041,67303.76273054,208518.312081542,29926.5293057364,245895.545506346
137911.036666603,66672.4730320235,209149.600301182,28961.0554188284,246861.017914377
137911.03602203,66046.7286598913,209775.343384169,28004.0623265524,247818.009717508
137911.03585287,65426.3863854154,210395.685320325,27055.3307780222,248766.740927719
137911.036053626,64811.3086395142,211010.763467738,26114.6504353306,249707.421671922
137911.036323689,64201.3633862272,211620.70926115,25181.8195260339,250640.253121343
137911.036453889,63596.4240530952,212225.648854682,24256.6445849882,251565.428322789
137911.036422366,62996.3693308777,212825.703513855,23338.9400972922,252483.132747441
137911.036323571,62401.0828412903,213420.989805853,22428.5280277199,253393.544619423
137911.036253131,61810.4527727572,214011.619733504,21525.2373246014,254296.83518166
137911.036244434,61224.3715723131,214597.700916556,20628.9034821949,255193.169006674
137911.036275055,60642.7357160928,215179.336834017,19739.3681862835,256082.704363827
137911.036306937,60065.445529352,215756.627084522,18856.4790176462,256965.593596228
137911.036318542,59492.405017204,216329.667619879,17980.0891761747,257841.983460908
137911.036311482,58923.5216867232,216898.55093624,17110.0572052924,258712.015417671
137911.036298908,58358.7063637211,217463.366234094,16246.2467178856,259575.82587993
137911.036291601,57797.873017037,218024.199566165,15388.5261349408,260433.546448261
137911.036291965,57240.9385993372,218581.133984592,14536.768445249,261285.30413868
137911.036296263,56687.8229048653,219134.249687661,13690.8509866687,262131.221605858
137911.036299876,56138.4484391566,219683.624160596,12850.6552440895,262971.417355663
137911.036300741,55592.7402956182,220229.332305864,12016.0666588556,263806.005942627
137911.036299541,55050.6260367693,220771.446562314,11186.9744470382,264635.098152045
137911.036298007,54512.0355806046,221310.03701541,10363.2714265432,265458.801169471
137911.0362973,53976.901093349,221845.171501251,9544.85385394975,266277.21874065
137911.036297507,53445.1568891746,222376.91570584,8731.62127140624,267090.451323609
137911.036298077,52916.7393364061,222905.333259747,7923.47636295612,267898.596233197
137911.036298468,52391.5867692269,223430.485827709,7120.32481915675,268701.747777779
137911.036298506,51869.6394040289,223952.433192982,6322.07520896316,269499.997388048
137911.036298326,51350.8392599638,224471.233336688,5528.6388582474,270293.433738404
137911.036298146,50835.1300835669,224986.942512725,4739.92973464442,271082.142861647
137911.036298084,50322.457277395,225499.615318774,3955.86433850776,271866.208257661
137911.036298128,49812.7678325203,226009.304763735,3176.36159968545,272645.71099657
137911.036298199,49306.0102646144,226516.062331784,2401.3427797324,273420.729816666
137911.03629824,48802.1345533237,227019.938043156,1630.73137915102,274191.341217328
137911.036298236,48301.0920846775,227520.980511795,864.453049295465,274957.619547177
137911.036298211,47802.8355963377,228019.237000085,102.43550864546,275719.637087777
137911.036298191,47307.319125541,228514.753470841,-655.39153679341,276477.464133175
137911.036298187,46814.4979595957,229007.574636778,-1409.09646918791,277231.169065561
137911.036298194,46324.3285887926,229497.744007595,-2158.74583089366,277980.818427281
137911.036298202,45836.7686615816,229985.303934823,-2904.40439301194,278726.476989417
137911.036298206,45351.7769418743,230470.295654538,-3646.13522069436,279468.207817107
137911.036298205,44869.3132683443,230952.759328066,-4383.99973538905,280206.072331799
137911.036298202,44389.3385156128,231432.734080791,-5118.05777420095,280940.130370604
137911.036298199,43911.8145572163,231910.258039183,-5848.36764652588,281670.440242925
137911.036298199,43436.7042302603,232385.368366138,-6574.98618810673,282397.058784505
137911.0362982,42963.9713016672,232858.101294734,-7297.96881265345,283120.041409054
137911.036298201,42493.5804359297,233328.492160473,-8017.36956116022,283839.442157563
137911.036298202,42025.4971642884,233796.575432115,-8733.24114904518,284555.313745449
137911.036298201,41559.6878552561,234262.384741147,-9445.63501122943,285267.707607632
137911.036298201,41096.1196864179,234725.952909984,-10154.601345265,285976.673941667
137911.036298201,40634.760617441,235187.311978961,-10860.1891526126,286682.261749014
137911.036298201,40175.5793642311,235646.493232171,-11562.4462781656,287384.518874567
137911.036298201,39718.5453741771,236103.527222225,-12261.4194481106,288083.492044513
137911.036298201,39263.6288024277,236558.443793975,-12957.1543062085,288779.226902611
137911.036298201,38810.8004891486,237011.272107254,-13649.6954485776,289471.76804498
137911.036298201,38360.0319377102,237462.040658692,-14339.0864570519,290161.159053454
137911.036298201,37911.2952937607,237910.777302641,-15025.3699311862,290847.442527588
137911.036298201,37464.5633251404,238357.509271262,-15708.5875189751,291530.660115377
137911.036298201,37019.809402596,238802.263193806,-16388.779946347,292210.852542749
137911.036298201,36577.0074812576,239245.065115145,-17065.9870454928,292888.059641895
137911.036298201,36136.1320828407,239685.940513561,-17740.2477820866,293562.320378489
137911.036298201,35697.1582785386,240124.914317864,-18411.6002814478,294233.67287785
137911.036298201,35260.0616725742,240562.010923828,-19080.081853698,294902.1544501
137911.036298201,34824.8183863786,240997.254210024,-19745.7290179569,295567.801614359
137911.036298201,34391.4050433689,241430.667553033,-20408.5775256226,296230.650122025
137911.036298201,33959.7987542975,241862.273842105,-21068.662382779,296890.734979181
137911.036298201,33529.9771031453,242292.095493257,-21726.0178717684,297548.090468171
137911.036298201,33101.9181335376,242720.154462865,-22380.6775719686,298202.750168371
137911.036298201,32675.6003356554,243146.472260747,-23032.6743798087,298854.746976211
137911.036298201,32251.0026336233,243571.069962779,-23682.0405280586,299504.113124461
137911.036298201,31828.104373351,243993.968223051,-24328.8076044236,300150.880200826
137911.036298201,31406.8853108098,244415.187285592,-24973.0065694739,300795.079165876
137911.036298201,30987.3256007244,244834.746995678,-25614.6677739391,301436.740370341
137911.036298201,30569.4057856625,245252.66681074,-26253.8209753936,302075.893571796
137911.036298201,30153.1067855058,245668.965810896,-26890.4953543606,302712.567950763
137911.036298201,29738.4098872848,246083.662709117,-27524.719529857,303346.792126259
137911.036298201,29325.2967353638,246496.775861038,-28156.5215744051,303978.594170807
137911.036298201,28913.7493219603,246908.323274442,-28785.9290285317,304608.001624934
137911.036298201,28503.7499779855,247318.322618417,-29412.9689147764,305235.041511179
137911.036298201,28095.2813641922,247726.79123221,-30037.6677512291,305859.740347631
137911.036298201,27688.3264626188,248133.746133783,-30660.0515646162,306482.124161018
137911.036298201,27282.8685683159,248539.204028086,-31280.1459029533,307102.218499355
137911.036298201,26878.8912813445,248943.181315058,-31897.9758477824,307720.048444185
137911.036298201,26476.3784990364,249345.694097366,-32513.5660260096,308335.638622412
137911.036298201,26075.3144085044,249746.758187898,-33126.9406213588,308949.013217761
137911.036298201,25675.6834793934,250146.389117009,-33738.1233854585,309560.195981861
137911.036298201,25277.4704568636,250544.602139539,-34347.1376485729,310169.210244975
137911.036298201,24880.6603547957,250941.412241606,-34954.0063299937,310776.078926396
137911.036298201,24485.2384492098,251336.834147192,-35558.7519481046,311380.824544507
137911.036298201,24091.1902718912,251730.882324511,-36161.3966301311,311983.469226533
137911.036298201,23698.5016042125,252123.57099219,-36761.9621215869,312584.034717989
137911.036298201,23307.1584711476,252514.914125255,-37360.4697954302,313182.542391832
137911.036298201,22917.1471354684,252904.925460934,-37956.9406609383,313779.01325734
137911.036298201,22528.454092118,253293.618504284,-38551.3953723133,314373.467968715
137911.036298201,22141.0660627546,253681.006533648,-39143.8542370268,314965.926833429
137911.036298201,21754.9699904579,254067.102605944,-39734.3372239148,315556.409820317
137911.036298201,21370.1530345949,254451.919561807,-40322.8639710312,316144.936567433
137911.036298201,20986.6025658364,254835.470030566,-40909.453793268,316731.52638967
137911.036298201,20604.306161321,255217.766435081,-41494.1256897522,317316.198286154
137911.036298201,20223.2515999603,255598.820996442,-42076.8983510257,317898.970947428
137911.036298201,19843.4268578803,255978.645738522,-42657.790166017,318479.862762419
137911.036298201,19464.8201039942,256357.252492408,-43236.8192288116,319058.891825214
137911.036298201,19087.4196957031,256734.652900699,-43814.0033452284,319636.075941631
137911.036298201,18711.2141747176,257110.858421685,-44389.3600392084,320211.432635611
137911.036298201,18336.1922629996,257485.880333403,-44962.9065590227,320784.979155425
137911.036298201,17962.3428588167,257859.729737585,-45534.6598833057,321356.732479708
137911.036298201,17589.6550329078,258232.417563494,-46104.63672692,321926.709323322
137911.036298201,17218.118024755,258603.954571647,-46672.8535466573,322494.926143059
137911.036298201,16847.7212389587,258974.351357443,-47239.3265467833,323061.399143185
137911.036298201,16478.4542417116,259343.618354691,-47804.071684429,323626.144280831
137911.036298201,16110.3067573699,259711.765839032,-48367.1046748355,324189.177271238
137911.036298201,15743.2686651164,260078.803931286,-48928.440996457,324750.513592859
137911.036298201,15377.3299957146,260444.742600688,-49488.0958959252,325310.168492327
137911.036298201,15012.4809283486,260809.591668054,-50046.0843928815,325868.156989284
137911.036298201,14648.7117875488,261173.360808853,-50602.4212846801,326424.493881082
137911.036298201,14286.0130401972,261536.059556205,-51157.1211509668,326979.193747369
137911.036298201,13924.3752926128,261897.697303789,-51710.1983581366,327532.270954539
137911.036298201,13563.7892877131,262258.283308689,-52261.6670636758,328083.739660078
137911.036298201,13204.2459022488,262617.826694153,-52811.54122039,328633.613816792
137911.036298201,12845.736144111,262976.336452291,-53359.8345805231,329181.907176925
137911.036298201,12488.2511497071,263333.821446695,-53906.5606997702,329728.633296172
137911.036298201,12131.7821814034,263690.290414999,-54451.7329411886,330273.805537591
137911.036298201,11776.3206250344,264045.751971368,-54995.3644790081,330817.43707541
137911.036298201,11421.8579874726,264400.21460893,-55537.4683023458,331359.540898748
137911.036298201,11068.3858942619,264753.68670214,-56078.0572188273,331900.129815229
137911.036298201,10715.8960873086,265106.176509093,-56617.143858117,332439.216454519
137911.036298201,10364.3804226304,265457.692173772,-57154.7406753611,332976.813271763
137911.036298201,10013.8308681609,265808.241728241,-57690.859954545,333512.932550947
137911.036298201,9664.23950160829,266157.833094794,-58225.5138117685,334047.586408171
137911.036298201,9315.59850836646,266506.474088036,-58758.7141984403,334580.786794842
137911.036298201,8967.90017947672,266854.172416925,-59290.4729043954,335112.545500798
137911.036298201,8621.13690963887,267200.935686763,-59820.8015609366,335642.874157339
137911.036298201,8275.30119527045,267546.771401132,-60349.711643803,336171.784240205
137911.036298201,7930.38563261216,267891.68696379,-60877.2144760674,336699.287072469
137911.036298201,7586.38291587854,268235.689680524,-61403.3212309644,337225.393827367
137911.036298201,7243.28583545233,268578.78676095,-61928.042934652,337750.115531054
137911.036298201,6901.08727612172,268920.98532028,-62451.3904689079,338273.46306531
137911.036298201,6559.78021535851,269262.292381044,-62973.374573762,338795.447170164
137911.036298201,6219.35772163665,269602.714874765,-63494.0058500685,339316.078446471
137911.036298201,5879.81295279006,269942.259643612,-64013.2947620176,339835.36735842
137911.036298201,5541.13915440757,270280.933441995,-64531.2516395896,340353.324235992
137911.036298201,5203.32965826578,270618.742938136,-65047.8866809523,340869.959277354
137911.036298201,4866.37788079679,270955.694715605,-65563.2099548038,341385.282551206
137911.036298201,4530.27732159139,271291.795274811,-66077.2314026622,341899.303999064
137911.036298201,4195.02156193586,271627.051034466,-66589.9608411029,342412.033437505
137911.036298201,3860.60426338157,271961.468333021,-67101.4079639465,342923.480560349
137911.036298201,3527.01916634711,272295.053430055,-67611.5823443968,343433.654940799
137911.036298201,3194.26008875092,272627.812507651,-68120.4934371317,343942.566033534
137911.036298201,2862.32092467471,272959.751671727,-68628.1505803471,344450.223176749
137911.036298201,2531.1956430563,273290.876953346,-69134.5629977569,344956.635594159
137911.036298201,2200.87828641094,273621.194309991,-69639.7398005478,345461.81239695
137911.036298201,1871.36296958083,273950.709626821,-70143.6899892917,345965.762585694
137911.036298201,1542.64387851179,274279.42871789,-70646.4224558174,346468.495052219
137911.036298201,1214.71526905624,274607.357327346,-71147.9459850404,346970.018581443
137911.036298201,887.571465802088,274934.5011306,-71648.2692567545,347470.341853157
137911.036298201,561.206860926759,275260.865735475,-72147.4008473842,347969.473443786
137911.036298201,235.615913075686,275586.456683326,-72645.3492317,348467.421828102
137911.036298201,-89.2068537356681,275911.279450138,-73142.1227844976,348964.1953809
137911.036298201,-413.266851196066,276235.339447598,-73637.7297822407,349459.802378643
137911.036298201,-736.569427750714,276558.642024153,-74132.1784046704,349954.251001072
137911.036298201,-1059.11986963102,276881.192466033,-74625.4767363799,350447.549332782
137911.036298201,-1380.92340186308,277202.995998265,-75117.6327683571,350939.705364759
137911.036298201,-1701.9851892553,277524.057785657,-75608.6543994948,351430.726995897
137911.036298201,-2022.31033736543,277844.382933768,-76098.5494380698,351920.622034472
137911.036298201,-2341.90389344792,278163.97648985,-76587.3256031916,352409.398199594
137911.036298201,-2660.77084738173,278482.843443784,-77074.9905262216,352897.063122624
137911.036298201,-2978.91613257941,278800.988728982,-77561.5517521632,353383.624348565
137911.036298201,-3296.34462687752,279118.41722328,-78047.0167410235,353869.089337426
137911.036298201,-3613.06115340927,279435.133749811,-78531.3928691484,354353.465465551
137911.036298201,-3929.07048145967,279751.143077862,-79014.6874305298,354836.760026932
137911.036298201,-4244.37732730326,280066.449923705,-79496.9076380871,355318.980234489
137911.036298201,-4558.98635502547,280381.058951428,-79978.0606249235,355800.133221326
137911.036298201,-4872.90217732755,280694.97477373,-80458.1534455568,356280.226041959
137911.036298201,-5186.12935631565,281008.201952718,-80937.1930771263,356759.265673528
137911.036298201,-5498.67240427434,281320.745000676,-81415.1864205757,357237.259016978
137911.036298201,-5810.5357844251,281632.608380827,-81892.1403018131,357714.212898215
137911.036298201,-6121.72391166983,281943.796508072,-82368.0614728484,358190.134069251
137911.036298201,-6432.24115332012,282254.313749722,-82842.9566129083,358665.02920931
137911.036298201,-6742.09182981242,282564.164426215,-83316.8323295302,359138.904925932
137911.036298201,-7051.28021540929,282873.352811811,-83789.6951596344,359611.767756037
137911.036298201,-7359.81053888737,283181.88313529,-84261.5515705768,360083.624166979
137911.036298201,-7667.68698421223,283489.759580614,-84732.4079611806,360554.480557583
137911.036298201,-7974.91369120032,283796.986287602,-85202.2706627486,361024.343259151
137911.036298201,-8281.49475616839,284103.567352571,-85671.1459400567,361493.218536459
137911.036298201,-8587.43423257081,284409.506828973,-86139.0399923284,361961.112588731
137911.036298201,-8892.73613162478,284714.808728027,-86605.958954191,362428.031550593
137911.036298201,-9197.40442292395,285019.477019326,-87071.9088966141,362893.981493016
137911.036298201,-9501.44303504063,285323.515631443,-87536.8958278305,363358.968424233
137911.036298201,-9804.8558561168,285626.928452519,-88000.9256942404,363822.998290643
137911.036298201,-10107.6467344443,285929.719330846,-88464.0043812981,364286.0769777
137911.036298201,-10409.8194790341,286231.892075436,-88926.1377143832,364748.210310785
137911.036298201,-10711.3778601756,286533.450456578,-89387.331459656,365209.404056058
137911.036298201,-11012.3256099855,286834.398206388,-89847.5913248959,365669.663921298
137911.036298201,-11312.6664229463,287134.739019348,-90306.9229603269,366128.995556729
137911.036298201,-11612.403956436,287434.476552838,-90765.3319594256,366587.404555828
137911.036298201,-11911.5418312474,287733.61442765,-91222.8238597168,367044.896456119
137911.036298201,-12210.0836320984,288032.156228501,-91679.4041435534,367501.476739956
137911.036298201,-12508.0329081333,288330.105504535,-92135.0782388834,367957.150835286
137911.036298201,-12805.3931734152,288627.465769817,-92589.8515200023,368411.924116404
137911.036298201,-13102.1679074091,288924.240503811,-93043.7293082928,368865.801904695
137911.036298201,-13398.3605554576,289220.43315186,-93496.7168729515,369318.789469354
137911.036298201,-13693.974529247,289516.047125649,-93948.8194317024,369770.892028105
137911.036298201,-13989.0132072658,289811.085803668,-94400.0421514979,370222.1147479
137911.036298201,-14283.4799352557,290105.552531658,-94850.3901492083,370672.46274561
137911.036298201,-14577.3780266538,290399.450623056,-95299.8684922982,371121.9410887
137911.036298201,-14870.7107630277,290692.78335943,-95748.4821994923,371570.554795894
137911.036298201,-15163.4813945029,290985.553990905,-96196.2362414286,372018.308837831
137911.036298201,-15455.6931401833,291277.765736585,-96643.1355413017,372465.208137704
137911.036298201,-15747.3491885639,291569.421784966,-97089.1849754938,372911.257571896
137911.036298201,-16038.4526979366,291860.525294339,-97534.3893741957,373356.461970598
137911.036298201,-16329.0067967896,292151.079393192,-97978.7535220171,373800.826118419
137911.036298201,-16619.0145841992,292441.087180601,-98422.2821585863,374244.354754988
137911.036298201,-16908.479130216,292730.551726618,-98864.9799791403,374687.052575542
137911.036298201,-17197.4034762436,293019.476072646,-99306.8516351046,375128.924231507
137911.036298201,-17485.7906354117,293307.863231814,-99747.9017346634,375569.974331066
137911.036298201,-17773.6435929425,293595.716189345,-100188.13484332,376010.207439722
137911.036298201,-18060.9653065117,293883.037902914,-100627.55548445,376449.628080852
137911.036298201,-18347.7587066023,294169.831303004,-101066.168139839,376888.240736241
137911.036298201,-18634.0266968542,294456.099293256,-101503.977250221,377326.049846623
137911.036298201,-18919.7721544065,294741.844750809,-101940.987215802,377763.059812204
137911.036298201,-19204.9979302352,295027.070526637,-102377.202396772,378199.274993174
137911.036298201,-19489.7068494849,295311.779445887,-102812.627113818,378634.69971022
137911.036298201,-19773.9017117955,295595.974308198,-103247.265648619,379069.338245021
137911.036298201,-20057.5852916233,295879.657888025,-103681.122244339,379503.194840742
137911.036298201,-20340.7603385568,296162.832934959,-104114.201106113,379936.273702515
137911.036298201,-20623.4295776281,296445.50217403,-104546.506401516,380368.578997918
137911.036298201,-20905.5957096182,296727.66830602,-104978.042261037,380800.114857439
137911.036298201,-21187.2614113589,297009.334007761,-105408.812778536,381230.885374938
137911.036298201,-21468.429336028,297290.50193243,-105838.8220117,381660.894608102
137911.036298201,-21749.1021134421,297571.174709844,-106268.073982485,382090.146578887
137911.036298201,-22029.2823503427,297851.354946745,-106696.572677558,382518.64527396
137911.036298201,-22308.9726306789,298131.045227081,-107124.322048729,382946.394645131
137911.036298201,-22588.1755158856,298410.248112288,-107551.326013374,383373.398609776
137911.036298201,-22866.8935451568,298688.966141559,-107977.588454856,383799.661051258
137911.036298201,-23145.1292357156,298967.201832118,-108403.113222934,384225.185819336
137911.036298201,-23422.8850830789,299244.957679481,-108827.904134173,384649.976730575
137911.036298201,-23700.1635613188,299522.236157721,-109251.96497234,385074.037568742
137911.036298201,-23976.9671233198,299799.039719722,-109675.299488796,385497.372085199
137911.036298201,-24253.2982010315,300075.370797434,-110097.91140289,385919.983999292
137911.036298201,-24529.1592057187,300351.231802121,-110519.804402331,386341.876998733
137911.036298201,-24804.5525282059,300626.625124608,-110940.98214357,386763.054739972
137911.036298201,-25079.4805391198,300901.553135522,-111361.448252168,387183.52084857
137911.036298201,-25353.9455891272,301176.018185529,-111781.20632316,387603.278919562
137911.036298201,-25627.9500091694,301450.022605572,-112200.259921412,388022.332517815
137911.036298201,-25901.496110693,301723.568707095,-112618.612581978,388440.68517838
137911.036298201,-26174.5861858777,301996.65878228,-113036.267810443,388858.340406845
137911.036298201,-26447.2225078604,302269.295104263,-113453.229083271,389275.301679673
137911.036298201,-26719.4073309556,302541.479927358,-113869.499848137,389691.572444539
137911.036298201,-26991.1428908733,302813.215487275,-114285.083524266,390107.156120668
137911.036298201,-27262.4314049329,303084.504001335,-114699.983502754,390522.056099156
137911.036298201,-27533.2750722746,303355.347668677,-115114.203146897,390936.275743299
137911.036298201,-27803.6760740671,303625.748670469,-115527.745792504,391349.818388906
137911.036298201,-28073.6365737127,303895.709170115,-115940.614748213,391762.687344615
137911.036298201,-28343.1587170492,304165.231313451,-116352.8132958,392174.885892202
137911.036298201,-28612.2446325491,304434.317228951,-116764.344690483,392586.417286885
137911.036298201,-28880.8964315152,304702.969027917,-117175.212161221,392997.284757623
137911.036298201,-29149.1162082744,304971.188804677,-117585.41891101,393407.491507412
137911.036298201,-29416.9060403681,305238.97863677,-117994.968117176,393817.040713578
137911.036298201,-29684.2679887394,305506.340585142,-118403.86293166,394225.935528062
137911.036298201,-29951.2040979191,305773.276694321,-118812.1064813,394634.179077702
137911.036298201,-30217.7163962072,306039.788992609,-119219.701868115,395041.774464518
137911.036298201,-30483.8068958533,306305.879492255,-119626.652169575,395448.724765977
137911.036298201,-30749.4775932335,306571.550189636,-120032.960438873,395855.033035276
137911.036298201,-31014.7304690256,306836.803065428,-120438.629705195,396260.702301597
137911.036298201,-31279.5674883808,307101.640084783,-120843.66297398,396665.735570382
137911.036298201,-31543.9906010939,307366.063197496,-121248.063227182,397070.135823585
137911.036298201,-31808.0017417709,307630.074338173,-121651.833423526,397473.906019928
137911.036298201,-32071.6028299937,307893.675426396,-122054.976498758,397877.04909516
137911.036298201,-32334.7957704835,308156.868366886,-122457.495365899,398279.567962301
137911.036298201,-32597.5824532609,308419.655049663,-122859.392915485,398681.465511887
137911.036298201,-32859.9647538045,308682.037350207,-123260.672015813,399082.744612215
137911.036298201,-33121.9445332068,308944.017129609,-123661.335513179,399483.408109581
137911.036298201,-33383.5236383287,309205.596234731,-124061.386232113,399883.458828515
137911.036298201,-33644.7039019509,309466.776498353,-124460.826975611,400282.899572013
137911.036298201,-33905.4871429241,309727.559739326,-124859.660525365,400681.733121767
137911.036298201,-34165.8751663163,309987.947762718,-125257.889641989,401079.962238391
137911.036298201,-34425.8697635593,310247.942359961,-125655.51706524,401477.589661642
137911.036298201,-34685.4727125918,310507.545308994,-126052.545514242,401874.618110644
137911.036298201,-34944.6857780014,310766.758374404,-126448.977687698,402271.0502841
137911.036298201,-35203.510711165,311025.583307567,-126844.816264109,402666.888860511
137911.036298201,-35461.9492503862,311284.021846788,-127240.063901979,403062.136498381
137911.036298201,-35720.0031210321,311542.075717434,-127634.723240031,403456.795836433
137911.036298201,-35977.6740356673,311799.746632069,-128028.796897406,403850.869493808
137911.036298201,-36234.9636941865,312057.036290589,-128422.287473868,404244.36007027
137911.036298201,-36491.8737839455,312313.946380348,-128815.197550006,404637.270146408
137911.036298201,-36748.4059798904,312570.478576293,-129207.529687428,405029.60228383
137911.036298201,-37004.5619446847,312826.634541087,-129599.286428959,405421.359025361
137911.036298201,-37260.3433288352,313082.415925237,-129990.470298832,405812.542895234
137911.036298201,-37515.7517708163,313337.824367218,-130381.083802876,406203.156399278
137911.036298201,-37770.7888971918,313592.861493594,-130771.129428706,406593.202025108
137911.036298201,-38025.4563227366,313847.528919139,-131160.609645907,406982.68224231
137911.036298201,-38279.7556505552,314101.828246957,-131549.526906217,407371.599502619
137911.036298201,-38533.6884722,314355.761068602,-131937.883643704,407759.956240106
137911.036298201,-38787.2563677871,314609.328964189,-132325.682274948,408147.75487135
137911.036298201,-39040.4609061116,314862.533502514,-132712.925199213,408534.997795615
137911.036298201,-39293.3036447601,315115.376241162,-133099.614798623,408921.687395025
137911.036298201,-39545.7861302229,315367.858726625,-133485.75343833,409307.826034732
137911.036298201,-39797.9098980044,315619.982494407,-133871.343466686,409693.416063089
137911.036298201,-40049.676472732,315871.749069134,-134256.387215408,410078.45981181
137911.036298201,-40301.0873682633,316123.159964665,-134640.88699974,410462.959596142
137911.036298201,-40552.1440877929,316374.216684195,-135024.84511862,410846.917715023
137911.036298201,-40802.8481239571,316624.920720359,-135408.263854839,411230.336451242
137911.036298201,-41053.2009589368,316875.273555339,-135791.145475197,411613.218071599
137911.036298201,-41303.2040645609,317125.276660963,-136173.492230662,411995.564827064
137911.036298201,-41552.8589024059,317374.931498808,-136555.306356521,412377.378952923
137911.036298201,-41802.166923897,317624.239520299,-136936.590072539,412758.662668941
137911.036298201,-42051.1295704053,317873.202166807,-137317.345583102,413139.418179505
137911.036298201,-42299.7482733457,318121.820869748,-137697.575077371,413519.647673773
137911.036298201,-42548.0244542729,318370.097050675,-138077.280729426,413899.353325828
137911.036298201,-42795.9595249761,318618.032121378,-138456.464698411,414278.537294813
137911.036298201,-43043.5548875724,318865.627483975,-138835.12912868,414657.201725083
137911.036298201,-43290.8119346,319112.884531002,-139213.276149937,415035.348746339
137911.036298201,-43537.7320491089,319359.804645511,-139590.907877374,415412.980473776
137911.036298201,-43784.3166047513,319606.389201153,-139968.026411811,415790.099008213
